id,city_id:id,name
zip_812,city_812,812
zip_813,city_813,813
zip_814,city_814,814
zip_815,city_815,815
zip_817,city_817,817
zip_819,city_819,819
zip_820,city_820,820
zip_821,city_821,821
zip_822,city_822,822
zip_823,city_823,823
zip_824,city_824,824
zip_825,city_825,825
zip_826,city_826,826
zip_827,city_827,827
zip_828,city_828,828
zip_829,city_829,829
zip_830,city_830,830
zip_831,city_831,831
zip_832,city_832,832
zip_833,city_833,833
zip_840,city_840,840
zip_842,city_842,842
zip_843,city_843,843
zip_844,city_844,844
zip_845,city_845,845
zip_846,city_846,846
zip_847,city_847,847
zip_848,city_848,848
zip_849,city_849,849
zip_851,city_851,851
zip_852,city_852,852
zip_880,city_880,880
zip_881,city_881,881
zip_882,city_882,882
zip_883,city_883,883
zip_884,city_884,884
zip_885,city_885,885
zip_890,city_890,890
zip_891,city_891,891
zip_892,city_892,892
zip_893,city_893,893
zip_894,city_894,894
zip_896,city_896,896
zip_900,city_900,900
zip_901,city_901,901
zip_902,city_902,902
zip_903,city_903,903
zip_904,city_904,904
zip_905,city_905,905
zip_906,city_906,906
zip_907,city_907,907
zip_908,city_908,908
zip_909,city_909,909
zip_911,city_911,911
zip_912,city_912,912
zip_913,city_913,913
zip_920,city_920,920
zip_921,city_921,921
zip_922,city_922,922
zip_923,city_923,923
zip_924,city_924,924
zip_925,city_925,925
zip_926,city_926,926
zip_927,city_927,927
zip_928,city_928,928
zip_929,city_929,929
zip_931,city_931,931
zip_932,city_932,932
zip_940,city_940,940
zip_941,city_941,941
zip_942,city_942,942
zip_943,city_943,943
zip_944,city_944,944
zip_945,city_945,945
zip_946,city_946,946
zip_947,city_947,947
zip_950,city_950,950
zip_951,city_951,951
zip_952,city_952,952
zip_953,city_953,953
zip_954,city_954,954
zip_955,city_955,955
zip_956,city_956,956
zip_957,city_957,957
zip_958,city_958,958
zip_959,city_959,959
zip_961,city_961,961
zip_962,city_962,962
zip_963,city_963,963
zip_964,city_964,964
zip_965,city_965,965
zip_966,city_966,966
zip_970,city_970,970
zip_971,city_971,971
zip_972,city_972,972
zip_973,city_973,973
zip_974,city_974,974
zip_975,city_975,975
zip_976,city_976,976
zip_977,city_977,977
zip_978,city_978,978
zip_979,city_979,979
zip_981,city_981,981
zip_982,city_982,982
zip_983,city_983,983
